DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
20220725,0000,17.019,17.114,16.655,17.023,9 420 080
20220726,0000,16.874,16.916,16.478,16.533,7 975 650
20220727,0000,17.057,17.933,16.92,17.784,12 625 580
20220728,0000,17.975,18.138,17.44,17.985,10 641 090
20220729,0000,17.7995,18.242,17.692,18.161,10 187 640
20220801,0000,18.175,18.838,17.997,18.442,10 836 830
20220802,0000,18.122,18.935,18.1,18.526,7 659 010
20220803,0000,18.184,18.968,18.163,18.888,8 338 570
20220804,0000,18.836,19.271,18.761,19.214,8 482 650
20220805,0000,18.787,19.219,18.67,18.988,8 047 090
20220808,0000,17.502,18.234,17.243,17.798,22 363 540
20220809,0000,17.245,17.446,16.725,17.092,12 891 220
20220810,0000,17.695,18.116,17.32,18.096,11 301 510
20220811,0000,18.131,18.707,17.878,17.944,11 552 270
20220812,0000,18.16,18.717,17.956,18.711,9 924 630
20220815,0000,18.704,19.164,18.617,19.032,7 807 240
20220816,0000,18.9195,19.142,18.503,18.887,8 289 320
20220817,0000,18.523,18.675,18.148,18.339,8 598 220
20220818,0000,18.301,18.862,18.193,18.773,8 105 360
20220819,0000,18.406,18.515,17.771,17.854,10 164 630
20220822,0000,17.465,17.544,16.966,17.039,9 921 480
20220823,0000,16.992,17.457,16.983,17.186,6 730 540
20220824,0000,17.012,17.403,16.9,17.212,8 201 230
20220825,0000,16.848,17.945,16.833,17.915,17 310 100
20220826,0000,17.859,17.92,16.238,16.257,18 296 840
20220829,0000,16.003,16.336,15.768,15.795,9 290 800
20220830,0000,15.961,16.03,15.183,15.47,10 895 700
20220831,0000,15.378,15.536,14.961,15.095,11 608 490
20220901,0000,14.209,14.38,13.271,13.936,24 025 460
20220902,0000,14.101,14.166,13.591,13.648,15 892 260
20220906,0000,13.727,13.773,13.353,13.462,12 767 680
20220907,0000,13.555,13.834,13.35,13.714,9 612 370
20220908,0000,13.45,14.007,13.37,13.989,14 950 040
20220909,0000,14.157,14.473,14.135,14.386,13 255 550
20220912,0000,14.365,14.542,14.2,14.506,10 294 960
20220913,0000,13.789,13.918,13.1,13.13,16 945 640
20220914,0000,13.254,13.2855,12.919,13.128,12 350 990
20220915,0000,13.025,13.231,12.795,12.931,11 160 670
20220916,0000,12.7415,13.211,12.62,13.199,13 554 600
20220919,0000,13.023,13.462,13.016,13.383,10 963 230
20220920,0000,13.2,13.48,13.058,13.174,8 863 590
20220921,0000,13.213,14.026,13.113,13.261,17 645 860
20220922,0000,13.066,13.147,12.429,12.563,14 635 210
20220923,0000,12.417,12.604,12.259,12.52,13 879 540
20220926,0000,12.518,12.657,12.214,12.224,9 763 380
20220927,0000,12.517,12.734,12.26,12.412,10 710 510
20220928,0000,12.401,12.822,12.357,12.731,11 746 000
20220929,0000,12.437,12.498,11.948,12.229,12 567 590
20220930,0000,12.079,12.632,12.076,12.137,13 920 200
20221003,0000,12.358,12.677,12.108,12.509,10 573 110
20221004,0000,12.879,13.219,12.879,13.171,12 568 430
20221005,0000,12.903,13.32,12.625,13.203,9 306 950
20221006,0000,13.22,13.652,13.105,13.131,11 765 990
20221007,0000,12.505,12.664,12.024,12.076,15 887 050
20221010,0000,12.037,12.115,11.41,11.666,12 227 690
20221011,0000,11.561,11.846,11.284,11.585,12 367 900
20221012,0000,11.579,11.731,11.347,11.502,9 033 560
20221013,0000,10.971,12.071,10.816,11.96,17 721 830
20221014,0000,12.058,12.107,11.205,11.237,14 485 540
20221017,0000,11.518,11.946,11.517,11.887,13 189 550
20221018,0000,12.383,12.486,11.62,11.969,12 946 260
20221019,0000,11.88,12.35,11.84,12.056,10 225 540
